Record ID,Incident Year,Incident Month,Incident Day,Operator,Aircraft ,Engines,Engine Type,Airport,State,FAA Region,Warning Issued,Flight Phase,Visibility,Precipitation,Height,Height Bands,Speed,Speed Bands,Species Name,Species Quantity,Flight Impact,Aircraft Damage,Engine Ingested
108976,1992,12,15,Business,B-737-200,2,D,Louie Armstrong New Orleans Intl Arpt,LA,ASW,Yes,LANDING ROLL,DAY,RAIN,0,On Ground,0,Stationary,Dove,2-10,NONE,No,No
109252,1992,12,15,1Us Airways,B-737-300,2,D,San Francisco Intl Arpt,CA,AWP,No,LANDING ROLL,DAY,NONE,0,On Ground,119,Medium Speed,Gull,1,NONE,No,No
130138,1992,12,15,Unknown,UNKNOWN,0,NA,Lihue Arpt,HI,AWP,Unknown,UNKNOWN,UNKNOWN,NONE,0,On Ground,0,Stationary,Short-Eared Owl,1,NONE,No,No
105152,1992,12,15,Unknown,UNKNOWN,0,NA,Pittsburgh Intl Arpt,PA,AEA,No,UNKNOWN,UNKNOWN,NONE,0,On Ground,0,Stationary,Mourning Dove,1,NONE,No,No
106232,1992,12,15,Unknown,UNKNOWN,0,NA,Pittsburgh Intl Arpt,PA,AEA,No,UNKNOWN,UNKNOWN,NONE,0,On Ground,0,Stationary,Rock Pigeon,1,NONE,No,No
107016,1992,12,16,American Airlines,B-737-200,2,D,Dallas/Fort Worth Intl Arpt,TX,ASW,No,APPROACH,DAY,NONE,250,Low Altitude,135,Medium Speed,Unknown Medium Bird,1,NONE,No,No
107015,1992,12,16,Business,C-152,1,A,Bowman Field,KY,ASO,Yes,APPROACH,DAY,NONE,20,Low Altitude,60,Low Speed,American Crow,1,NONE,Yes,No
103557,1992,12,16,Business,C-402,2,A,Fort Lauderdale Executive Arpt,FL,ASO,Yes,LANDING ROLL,DAY,NONE,0,On Ground,110,Medium Speed,Egret,2-10,NONE,No,No
1068,1992,12,16,Military,T-38A,0,NA,Lubbock Preston Smith Intl Arpt,TX,ASW,Unknown,APPROACH,DAY,NONE,1700,Medium Altitude,300,High Speed,Unknown Medium Bird,1,NONE,No,No
1069,1992,12,16,Military,C-130H,0,NA,Gulfport-Biloxi Intl Aprt,MS,ASO,Unknown,TAKEOFF RUN,DAY,NONE,0,On Ground,110,Medium Speed,Unknown Medium Bird,2-10,NONE,No,No
1071,1992,12,17,Military,T-37B,0,NA,Lubbock Preston Smith Intl Arpt,TX,ASW,Unknown,CLIMB,DUSK,NONE,1700,Medium Altitude,200,Medium Speed,Unknown Medium Bird,1,NONE,No,No
101682,1992,12,17,Delta Air Lines,B-727-200,3,D,San Francisco Intl Arpt,CA,AWP,No,LANDING ROLL,DAY,NONE,0,On Ground,120,Medium Speed,Gull,2-10,NONE,No,No
129031,1992,12,17,Trans States Airlines,ATR-42,2,C,General Downing-Peoria Intl Arpt,IL,AGL,Unknown,LANDING ROLL,NIGHT,NONE,0,On Ground,0,Stationary,White-Tailed Deer,1,NONE,No,No
106381,1992,12,17,Nashville Eagle,SHORTS 360,2,C,Theodore Francis Green State,RI,ANE,Yes,LANDING ROLL,NIGHT,NONE,0,On Ground,70,Low Speed,Gull,1,NONE,No,No
1070,1992,12,17,Military,T-37B,0,NA,Lubbock Preston Smith Intl Arpt,TX,ASW,Unknown,APPROACH,DUSK,NONE,20,Low Altitude,90,Low Speed,Unknown Medium Bird,2-10,NONE,No,No
105398,1992,12,17,Allegheny Airlines,SHORTS 360,2,C,Philadelphia Intl,PA,AEA,No,CLIMB,NIGHT,NONE,50,Low Altitude,120,Medium Speed,Duck,1,NONE,No,No
103659,1992,12,18,Nashville Eagle,SHORTS 360,2,C,Theodore Francis Green State,RI,ANE,Unknown,APPROACH,NIGHT,NONE,0,On Ground,0,Stationary,Gull,1,NONE,No,No
